loan_id,borrower_name,loan_amount,outstanding_balance,interest_rate,loan_type,purpose,term_months,monthly_payment,credit_score,loan_status,days_past_due,open_date,close_date,last_payment_date
A1001,John Doe,15000,12500,5.25,personal,Debt Consolidation,60,265.50,720,ACTIVE,0,2024-05-01,,2026-02-09
A1002,Jane Smith,25000,0,4.50,mortgage,Home Purchase,360,126.51,780,CLOSED,,2023-12-15,2026-01-15,2026-01-15
A1003,Bob Johnson,18000,14500,6.75,auto,Vehicle Purchase,48,397.25,650,DELINQUENT,45,2024-01-22,,2025-12-15
A1004,Alice Brown,30000,0,3.99,mortgage,Home Refinance,240,147.52,800,PAID_OFF,,2022-11-30,2024-11-30,2024-11-30
A1005,Chris Evans,5000,4200,7.50,personal,Medical Expenses,36,150.85,680,ACTIVE,0,2024-02-14,,2026-02-09
A1006,Diana Williams,50000,38500,4.75,mortgage,Commercial Property,300,267.30,785,ACTIVE,0,2021-03-10,,2026-02-08
A1007,Edward Martinez,12000,0,5.99,personal,Home Improvement,48,271.85,710,PAID_OFF,,2021-11-20,2025-11-20,2025-11-20
A1008,Fiona Davis,22000,18500,6.25,auto,Business Vehicle,60,420.35,695,ACTIVE,0,2023-08-15,,2026-02-09
A1009,George Wilson,35000,28900,5.50,personal,Education Loan,84,485.20,760,ACTIVE,0,2022-05-22,,2026-02-07
A1010,Hannah Taylor,8500,2100,8.25,personal,Wedding Expenses,24,372.55,660,ACTIVE,15,2025-02-01,,2026-01-20
A1011,Ian Anderson,45000,0,4.25,mortgage,Investment Property,240,220.18,800,CLOSED,,2022-01-15,2026-01-15,2026-01-15
A1012,Julia Thomas,19000,16200,6.49,auto,Car Purchase,48,434.82,675,ACTIVE,0,2023-10-30,,2026-02-09
A1013,Kevin Lee,28000,24500,5.75,personal,Startup Capital,60,531.45,750,ACTIVE,0,2023-11-05,,2026-02-08
A1014,Lisa White,7500,6000,9.00,personal,Emergency Fund,24,334.20,630,DELINQUENT,60,2024-09-15,,2025-11-15
